rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1423365049.236058,0,31,273600,273600,0,67,67
1423365158.236058,1,28,271800,271800,0,0,0
1423365163.236058,0,28,273600,273600,0,12,268
1423365379.236058,2,34,270961,270961,0,0,0
1423365387.236058,2,34,270000,270000,69,0,0
1423365389.236058,2,34,270000,270000,69,0,0
1423365399.236058,2,34,270000,270000,69,0,0
1423365403.236058,2,34,270000,270000,69,0,0
1423365419.236058,2,34,270000,270000,69,0,0
1423365429.236058,2,34,270000,270000,69,0,0
1423365442.236058,3,34,270000,270000,69,0,0
1423365449.236058,2,34,270000,270000,69,0,0
1423365459.236058,2,34,270000,270000,69,0,0
1423365463.236058,2,34,270000,270000,69,0,0
1423365479.236058,2,34,270000,270000,69,0,0
1423365489.236058,2,34,270000,270000,69,0,0
1423365509.236058,2,34,270000,270000,69,0,0
1423365519.236058,2,34,270000,270000,69,0,0
1423365523.236058,2,34,270000,270000,69,0,0
1423365539.236058,2,34,270000,270000,69,0,0
1423365549.236058,2,34,270000,270000,69,0,0
1423365569.236058,2,34,270000,270000,69,0,0
1423365579.236058,2,34,270000,270000,69,0,0
1423365583.236058,2,34,270000,270000,69,0,0
1423365599.236058,2,34,270000,270000,69,0,0
1423365609.236058,2,34,270000,270000,69,0,0
1423365629.236058,2,34,270000,270000,69,0,0
1423365639.236058,2,34,270000,270000,69,0,0
1423365643.236058,2,34,270000,270000,69,0,0
1423365659.236058,2,34,270000,270000,69,0,0
1423365669.236058,2,34,270000,270000,69,0,0
1423365677.236058,2,34,270600,270600,70,0,0
1423365685.236058,0,28,273600,273600,0,12,268
1423365689.236058,2,34,270600,270600,70,0,0
1423365699.236058,2,34,270600,270600,70,0,0
1423365703.236058,2,34,270600,270600,70,0,0
1423365719.236058,2,34,270600,270600,70,0,0
1423365729.236058,2,34,270600,270600,70,0,0
1423365742.236058,3,34,270600,270600,70,0,0
1423365749.236058,2,34,270600,270600,70,0,0
1423365759.236058,2,34,270600,270600,70,0,0
1423365763.236058,2,34,270600,270600,70,0,0
1423365779.236058,2,34,270600,270600,70,0,0
1423365789.236058,2,34,270600,270600,70,0,0
1423365809.236058,2,34,270600,270600,70,0,0
1423365819.236058,2,34,270600,270600,70,0,0
1423365823.236058,2,34,270600,270600,70,0,0
1423365839.236058,2,34,270600,270600,70,0,0
1423365849.236058,2,34,270600,270600,70,0,0
1423365869.236058,2,34,270600,270600,70,0,0
1423365879.236058,2,34,270600,270600,70,0,0
1423365883.236058,2,34,270600,270600,70,0,0
1423365899.236058,2,34,270600,270600,70,0,0
1423365909.236058,2,34,270600,270600,70,0,0
1423365929.236058,2,34,270600,270600,70,0,0
1423365939.236058,2,34,270600,270600,70,0,0
1423365943.236058,2,34,270600,270600,70,0,0
1423365959.236058,2,34,270600,270600,70,0,0
1423365969.236058,2,34,270600,270600,70,0,0
1423365989.236058,2,34,270600,270600,70,0,0
1423365999.236058,2,34,270600,270600,70,0,0
1423366003.236058,2,34,270600,270600,70,0,0
1423366019.236058,2,34,270600,270600,70,0,0
1423366029.236058,2,34,270600,270600,70,0,0
1423366049.236058,2,34,270600,270600,70,0,0
1423366059.236058,2,34,270600,270600,70,0,0
1423366063.236058,2,34,270600,270600,70,0,0
1423366079.236058,2,34,270600,270600,70,0,0
1423366089.236058,2,34,270600,270600,70,0,0
1423366109.236058,2,34,270600,270600,70,0,0
1423366119.236058,2,34,270600,270600,70,0,0
1423366123.236058,2,34,270600,270600,70,0,0
1423366139.236058,2,34,270600,270600,70,0,0
1423366142.236058,3,34,270600,270600,70,0,0
1423366149.236058,2,34,270600,270600,70,0,0
1423366169.236058,2,34,270600,270600,70,0,0
1423366179.236058,2,34,270600,270600,70,0,0
1423366183.236058,2,34,270600,270600,70,0,0
1423366199.236058,2,34,270600,270600,70,0,0
1423366209.236058,2,34,270600,270600,70,0,0
1423366730.236058,0,31,273600,273600,0,67,67
1423366940.236058,1,32,271800,271800,0,0,0
1423366969.236058,0,32,273600,273600,0,51,51
