rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1424708566.428535,2,34,403800,403800,38,0,0
1424708578.428535,2,34,403800,403800,38,0,0
1424708588.3181183,2,34,403800,403800,38,0,0
1424708608.3181183,2,34,403800,403800,38,0,0
1424708618.3181183,2,34,403800,403800,38,0,0
1424708622.3181183,2,34,403800,403800,38,0,0
1424708631.3181183,3,34,403800,403800,38,0,0
1424708638.3181183,2,34,403800,403800,38,0,0
1424708648.3181183,2,34,403800,403800,38,0,0
1424708668.3181183,2,34,403800,403800,38,0,0
1424708678.3181183,2,34,403800,403800,38,0,0
1424708682.3181183,2,34,403800,403800,38,0,0
1424708698.3181183,2,34,403800,403800,38,0,0
1424708708.3181183,2,34,403800,403800,38,0,0
1424708728.3181183,2,34,403800,403800,38,0,0
1424708738.3181183,2,34,403800,403800,38,0,0
1424708742.3181183,2,34,403800,403800,38,0,0
1424708758.3181183,2,34,403800,403800,38,0,0
1424708768.3181183,2,34,403800,403800,38,0,0
1424708788.3181183,2,34,403800,403800,38,0,0
1424708798.3181183,2,34,403800,403800,38,0,0
1424708802.3181183,2,34,403800,403800,38,0,0
1424708818.3181183,2,34,403800,403800,38,0,0
1424708828.3181183,2,34,403800,403800,38,0,0
1424708848.3181183,2,34,403800,403800,38,0,0
1424708858.3181183,2,34,403800,403800,38,0,0
1424708862.3181183,2,34,403800,403800,38,0,0
1424708878.3181183,2,34,403800,403800,38,0,0
1424708888.3181183,2,34,403800,403800,38,0,0
1424708908.3181183,2,34,403800,403800,38,0,0
1424708911.3181183,3,34,403800,403800,38,0,0
1424708918.3181183,2,34,403800,403800,38,0,0
1424708922.3181183,2,34,403800,403800,38,0,0
1424708938.3181183,2,34,403800,403800,38,0,0
1424708948.3181183,2,34,403800,403800,38,0,0
1424708968.3181183,2,34,403800,403800,38,0,0
1424708978.3181183,2,34,403800,403800,38,0,0
1424708982.3181183,2,34,403800,403800,38,0,0
1424708998.3181183,2,34,403800,403800,38,0,0
1424709008.3181183,2,34,403800,403800,38,0,0
1424709028.3181183,2,34,403800,403800,38,0,0
1424709038.3181183,2,34,403800,403800,38,0,0
1424709041.3181183,3,34,403800,403800,38,0,0
1424709042.3181183,2,34,403800,403800,38,0,0
1424709058.3181183,2,34,403800,403800,38,0,0
1424709068.3181183,2,34,403800,403800,38,0,0
1424709076.3181183,2,34,404400,404400,39,0,0
1424709088.3181183,2,34,404400,404400,39,0,0
1424709098.3181183,2,34,404400,404400,39,0,0
1424709102.3181183,2,34,404400,404400,39,0,0
1424709142.3181183,3,34,404400,404400,39,0,0
1424710873.3181183,0,18,410400,410400,0,168,424
1424710881.3181183,1,18,408600,408600,0,0,0
1424710928.3181183,1,24,408600,408600,0,0,0
