rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1426198699.436493,0,12,86400,86400,0,64,64
1426198893.436493,2,24,80491,80491,0,0,0
1426198899.436493,2,24,80491,80491,0,0,0
1426198903.436493,2,24,80491,80491,0,0,0
1426198905.436493,2,24,79800,79800,6,0,0
1426198919.436493,2,24,79800,79800,6,0,0
1426198929.436493,2,24,79800,79800,6,0,0
1426198949.436493,2,24,79800,79800,6,0,0
1426198959.436493,2,24,79800,79800,6,0,0
1426198962.436493,3,24,79800,79800,6,0,0
1426198963.436493,2,24,79800,79800,6,0,0
1426198979.436493,2,24,79800,79800,6,0,0
1426198989.436493,2,24,79800,79800,6,0,0
1426199009.436493,2,24,79800,79800,6,0,0
1426199019.436493,2,24,79800,79800,6,0,0
1426199023.436493,2,24,79800,79800,6,0,0
1426199039.436493,2,24,79800,79800,6,0,0
1426199047.436493,2,11,77400,77400,2,0,0
1426199049.436493,2,24,79800,79800,6,0,0
1426199049.436493,2,11,77400,77400,2,0,0
1426199069.436493,2,24,79800,79800,6,0,0
1426199069.436493,2,11,77400,77400,2,0,0
1426199079.436493,2,24,79800,79800,6,0,0
1426199079.436493,2,11,77400,77400,2,0,0
1426199083.436493,2,24,79800,79800,6,0,0
1426199083.436493,2,11,77400,77400,2,0,0
1426199092.436493,3,11,77400,77400,2,0,0
1426199099.436493,2,24,79800,79800,6,0,0
1426199099.436493,2,11,77400,77400,2,0,0
1426199109.436493,2,24,79800,79800,6,0,0
1426199109.436493,2,11,77400,77400,2,0,0
1426199129.436493,2,24,79800,79800,6,0,0
1426199129.436493,2,11,77400,77400,2,0,0
1426199139.436493,2,24,79800,79800,6,0,0
1426199139.436493,2,11,77400,77400,2,0,0
1426199143.436493,2,24,79800,79800,6,0,0
1426199143.436493,2,11,77400,77400,2,0,0
1426199159.436493,2,24,79800,79800,6,0,0
1426199159.436493,2,11,77400,77400,2,0,0
1426199169.436493,2,24,79800,79800,6,0,0
1426199169.436493,2,11,77400,77400,2,0,0
1426199185.436493,0,12,86400,86400,0,64,64
1426199189.436493,2,24,79800,79800,6,0,0
1426199189.436493,2,11,77400,77400,2,0,0
1426199199.436493,2,24,79800,79800,6,0,0
1426199199.436493,2,11,77400,77400,2,0,0
1426199203.436493,2,24,79800,79800,6,0,0
1426199203.436493,2,11,77400,77400,2,0,0
1426199219.436493,2,24,79800,79800,6,0,0
1426199219.436493,2,11,77400,77400,2,0,0
1426199229.436493,2,24,79800,79800,6,0,0
1426199229.436493,2,11,77400,77400,2,0,0
1426199249.436493,2,24,79800,79800,6,0,0
1426199249.436493,2,11,77400,77400,2,0,0
1426199259.436493,2,24,79800,79800,6,0,0
1426199259.436493,2,11,77400,77400,2,0,0
1426199263.436493,2,24,79800,79800,6,0,0
1426199263.436493,2,11,77400,77400,2,0,0
1426199279.436493,2,24,79800,79800,6,0,0
1426199279.436493,2,11,77400,77400,2,0,0
1426199289.436493,2,24,79800,79800,6,0,0
1426199289.436493,2,11,77400,77400,2,0,0
1426199309.436493,2,24,79800,79800,6,0,0
1426199309.436493,2,11,77400,77400,2,0,0
1426199319.436493,2,24,79800,79800,6,0,0
1426199319.436493,2,11,77400,77400,2,0,0
1426199323.436493,2,24,79800,79800,6,0,0
1426199323.436493,2,11,77400,77400,2,0,0
1426199339.436493,2,24,79800,79800,6,0,0
1426199339.436493,2,11,77400,77400,2,0,0
1426199349.436493,2,24,79800,79800,6,0,0
1426199349.436493,2,11,77400,77400,2,0,0
1426199369.436493,2,24,79800,79800,6,0,0
1426199369.436493,2,11,77400,77400,2,0,0
1426199379.436493,2,24,79800,79800,6,0,0
1426199379.436493,2,11,77400,77400,2,0,0
1426199383.436493,2,24,79800,79800,6,0,0
1426199383.436493,2,11,77400,77400,2,0,0
1426199399.436493,2,24,79800,79800,6,0,0
1426199399.436493,2,11,77400,77400,2,0,0
1426199409.436493,2,24,79800,79800,6,0,0
1426199409.436493,2,11,77400,77400,2,0,0
1426199429.436493,2,24,79800,79800,6,0,0
1426199429.436493,2,11,77400,77400,2,0,0
1426199439.436493,2,24,79800,79800,6,0,0
1426199439.436493,2,11,77400,77400,2,0,0
1426199443.436493,2,24,79800,79800,6,0,0
1426199443.436493,2,11,77400,77400,2,0,0
1426199459.436493,2,24,79800,79800,6,0,0
