rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1426080199.4316075,0,31,568800,568800,0,24,24
1426080385.4316075,0,31,568800,568800,0,24,24
1426080587.4316075,2,33,565800,565800,54,0,0
1426080599.4316075,2,33,565800,565800,54,0,0
1426080609.4316075,2,33,565800,565800,54,0,0
1426080629.4316075,2,33,565800,565800,54,0,0
1426080639.4316075,2,33,565800,565800,54,0,0
1426080642.4316075,3,33,565800,565800,54,0,0
1426080643.4316075,2,33,565800,565800,54,0,0
1426080659.4316075,2,33,565800,565800,54,0,0
1426080669.4316075,2,33,565800,565800,54,0,0
1426080677.4316075,2,33,566400,566400,55,0,0
1426080689.4316075,2,33,566400,566400,55,0,0
1426080699.4316075,2,33,566400,566400,55,0,0
1426080703.4316075,2,33,566400,566400,55,0,0
1426080719.4316075,2,33,566400,566400,55,0,0
1426080729.4316075,2,33,566400,566400,55,0,0
1426080741.4316075,3,21,566400,566400,55,0,0
1426080742.4316075,3,33,566400,566400,55,0,0
1426080749.4316075,2,33,566400,566400,55,0,0
1426080759.4316075,2,33,566400,566400,55,0,0
1426080759.4316075,1,32,567000,567000,0,0,0
1426080763.4316075,2,33,566400,566400,55,0,0
1426080779.4316075,2,33,566400,566400,55,0,0
1426080789.4316075,2,33,566400,566400,55,0,0
1426080809.4316075,2,33,566400,566400,55,0,0
1426080819.4316075,2,33,566400,566400,55,0,0
1426080823.4316075,2,33,566400,566400,55,0,0
1426080839.4316075,2,33,566400,566400,55,0,0
1426080849.4316075,2,33,566400,566400,55,0,0
1426080869.4316075,2,33,566400,566400,55,0,0
1426080879.4316075,2,33,566400,566400,55,0,0
1426080883.4316075,2,33,566400,566400,55,0,0
1426080899.4316075,2,33,566400,566400,55,0,0
1426080909.4316075,2,33,566400,566400,55,0,0
1426080929.4316075,2,33,566400,566400,55,0,0
1426080939.4316075,2,33,566400,566400,55,0,0
1426080943.4316075,2,33,566400,566400,55,0,0
1426080956.4316075,1,32,567000,567000,0,0,0
1426080959.4316075,2,33,566400,566400,55,0,0
1426080969.4316075,2,33,566400,566400,55,0,0
1426080989.4316075,2,33,566400,566400,55,0,0
1426080999.4316075,2,33,566400,566400,55,0,0
1426081003.4316075,2,33,566400,566400,55,0,0
1426081019.4316075,2,33,566400,566400,55,0,0
1426081027.4316075,0,32,568800,568800,0,51,51
1426081029.4316075,2,33,566400,566400,55,0,0
1426081049.4316075,2,33,566400,566400,55,0,0
1426081059.4316075,2,33,566400,566400,55,0,0
1426081063.4316075,2,33,566400,566400,55,0,0
1426081065.4316075,1,32,567000,567000,0,0,0
1426081079.4316075,2,33,566400,566400,55,0,0
1426081089.4316075,2,33,566400,566400,55,0,0
1426081109.4316075,2,33,566400,566400,55,0,0
1426081119.4316075,2,33,566400,566400,55,0,0
1426081123.4316075,2,33,566400,566400,55,0,0
1426081135.4316075,0,31,568800,568800,0,24,24
1426081139.4316075,2,33,566400,566400,55,0,0
1426081149.4316075,2,33,566400,566400,55,0,0
1426081169.4316075,2,33,566400,566400,55,0,0
