rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1423006566.205674,0,24,518400,518400,0,38,38
1423006567.8023849,1,24,516600,516600,0,0,0
1423006616.8023849,2,11,516000,516000,98,0,0
1423006618.8023849,2,11,516000,516000,98,0,0
1423006626.8023849,0,22,518400,518400,0,58,58
1423006628.8023849,2,11,516000,516000,98,0,0
1423006648.8023849,2,11,516000,516000,98,0,0
1423006658.8023849,2,11,516000,516000,98,0,0
1423006662.8023849,2,11,516000,516000,98,0,0
1423006671.8023849,3,11,516000,516000,98,0,0
1423006678.8023849,2,11,516000,516000,98,0,0
1423006688.8023849,2,11,516000,516000,98,0,0
1423006699.8023849,1,24,516600,516600,0,0,0
1423006708.8023849,2,11,516000,516000,98,0,0
1423006718.8023849,2,11,516000,516000,98,0,0
1423006722.8023849,2,11,516000,516000,98,0,0
1423006738.8023849,2,11,516000,516000,98,0,0
1423006748.8023849,2,11,516000,516000,98,0,0
1423006758.8023849,0,11,518400,518400,0,182,694
1423006768.8023849,2,11,516000,516000,98,0,0
1423006778.8023849,2,11,516000,516000,98,0,0
1423006782.8023849,2,11,516000,516000,98,0,0
1423006784.8023849,1,24,516600,516600,0,0,0
1423006798.8023849,2,11,516000,516000,98,0,0
1423006808.8023849,2,11,516000,516000,98,0,0
1423006828.8023849,2,11,516000,516000,98,0,0
1423006838.8023849,2,11,516000,516000,98,0,0
1423006842.8023849,2,11,516000,516000,98,0,0
1423006858.8023849,2,11,516000,516000,98,0,0
1423006868.8023849,2,11,516000,516000,98,0,0
1423006884.8023849,0,22,518400,518400,0,58,58
1423006884.8023849,0,11,518400,518400,0,182,694
1423006884.8023849,0,24,518400,518400,0,38,38
1423006886.8023849,2,11,516600,516600,99,0,0
1423006888.8023849,2,11,516600,516600,99,0,0
1423006898.8023849,2,11,516600,516600,99,0,0
1423006902.8023849,2,11,516600,516600,99,0,0
1423006918.8023849,2,11,516600,516600,99,0,0
1423006928.8023849,2,11,516600,516600,99,0,0
1423006941.8023849,3,11,516600,516600,99,0,0
1423006948.8023849,2,11,516600,516600,99,0,0
1423006958.8023849,2,11,516600,516600,99,0,0
1423006958.8023849,1,24,516600,516600,0,0,0
1423006962.8023849,2,11,516600,516600,99,0,0
1423006978.8023849,2,11,516600,516600,99,0,0
1423006998.8023849,2,36,517381,517381,0,0,0
1423007006.8023849,2,36,515400,515400,97,0,0
1423007008.8023849,2,36,515400,515400,97,0,0
1423007008.8023849,2,11,516600,516600,99,0,0
1423007018.8023849,2,36,515400,515400,97,0,0
1423007018.8023849,2,11,516600,516600,99,0,0
1423007022.8023849,2,36,515400,515400,97,0,0
1423007022.8023849,2,11,516600,516600,99,0,0
1423007030.8023849,1,24,516600,516600,0,0,0
1423007038.8023849,2,36,515400,515400,97,0,0
1423007041.8023849,3,36,515400,515400,97,0,0
1423007048.8023849,2,36,515400,515400,97,0,0
1423007068.8023849,2,36,515400,515400,97,0,0
1423007078.8023849,2,36,515400,515400,97,0,0
1423007082.8023849,2,36,515400,515400,97,0,0
1423007098.8023849,2,36,515400,515400,97,0,0
1423007108.8023849,2,36,515400,515400,97,0,0
1423007128.8023849,2,36,515400,515400,97,0,0
1423007138.8023849,2,36,515400,515400,97,0,0
1423007142.8023849,2,36,515400,515400,97,0,0
1423007158.8023849,2,36,515400,515400,97,0,0
1423007168.8023849,2,36,515400,515400,97,0,0
1423007188.8023849,2,36,515400,515400,97,0,0
1423007198.8023849,2,36,515400,515400,97,0,0
1423007202.8023849,2,36,515400,515400,97,0,0
1423007218.8023849,2,36,515400,515400,97,0,0
1423007228.8023849,2,36,515400,515400,97,0,0
1423007248.8023849,2,36,515400,515400,97,0,0
1423007251.8023849,2,24,517621,517621,0,0,0
1423007255.8023849,2,24,516000,516000,98,0,0
1423007257.8023849,2,24,516000,516000,98,0,0
1423007258.8023849,2,36,515400,515400,97,0,0
1423007261.8023849,2,24,516000,516000,98,0,0
1423007262.8023849,2,36,515400,515400,97,0,0
1423007277.8023849,2,24,516000,516000,98,0,0
1423007278.8023849,2,36,515400,515400,97,0,0
1423007287.8023849,2,24,516000,516000,98,0,0
1423007288.8023849,2,36,515400,515400,97,0,0
1423007299.8023849,1,24,516600,516600,0,0,0
1423007307.8023849,2,24,516000,516000,98,0,0
1423007308.8023849,2,36,515400,515400,97,0,0
1423007317.8023849,2,24,516000,516000,98,0,0
1423007318.8023849,2,36,515400,515400,97,0,0
1423007320.8023849,3,24,516000,516000,98,0,0
1423007321.8023849,2,24,516000,516000,98,0,0
1423007322.8023849,2,36,515400,515400,97,0,0
1423007337.8023849,2,24,516000,516000,98,0,0
1423007338.8023849,2,36,515400,515400,97,0,0
1423007347.8023849,2,24,516000,516000,98,0,0
1423007348.8023849,2,36,515400,515400,97,0,0
1423007367.8023849,2,24,516000,516000,98,0,0
1423007368.8023849,2,36,515400,515400,97,0,0
1423007377.8023849,2,24,516000,516000,98,0,0
1423007378.8023849,2,36,515400,515400,97,0,0
1423007381.8023849,2,24,516000,516000,98,0,0
1423007382.8023849,2,36,515400,515400,97,0,0
1423007397.8023849,2,24,516000,516000,98,0,0
1423007398.8023849,2,36,515400,515400,97,0,0
1423007407.8023849,2,24,516000,516000,98,0,0
1423007408.8023849,2,36,515400,515400,97,0,0
1423007427.8023849,2,24,516000,516000,98,0,0
1423007428.8023849,2,36,515400,515400,97,0,0
1423007437.8023849,2,24,516000,516000,98,0,0
1423007438.8023849,2,36,515400,515400,97,0,0
1423007441.8023849,2,24,516000,516000,98,0,0
1423007442.8023849,2,36,515400,515400,97,0,0
1423007457.8023849,2,24,516000,516000,98,0,0
1423007458.8023849,2,36,515400,515400,97,0,0
1423007467.8023849,2,24,516000,516000,98,0,0
1423007468.8023849,2,36,515400,515400,97,0,0
1423007487.8023849,2,24,516000,516000,98,0,0
1423007488.8023849,2,36,515400,515400,97,0,0
1423007497.8023849,2,24,516000,516000,98,0,0
1423007498.8023849,2,36,515400,515400,97,0,0
1423007501.8023849,2,24,516000,516000,98,0,0
1423007502.8023849,2,36,515400,515400,97,0,0
1423007517.8023849,2,24,516000,516000,98,0,0
1423007518.8023849,2,36,515400,515400,97,0,0
1423007527.8023849,2,24,516000,516000,98,0,0
1423007528.8023849,2,36,515400,515400,97,0,0
1423007541.8023849,3,11,517200,517200,100,0,0
1423007547.8023849,2,24,516000,516000,98,0,0
1423007548.8023849,2,36,515400,515400,97,0,0
1423007557.8023849,2,24,516000,516000,98,0,0
1423007558.8023849,2,36,515400,515400,97,0,0
1423007561.8023849,2,24,516000,516000,98,0,0
1423007562.8023849,2,36,515400,515400,97,0,0
1423007577.8023849,2,24,516000,516000,98,0,0
1423007578.8023849,2,36,515400,515400,97,0,0
1423007587.8023849,2,24,516000,516000,98,0,0
1423007588.8023849,2,36,515400,515400,97,0,0
1423007607.8023849,2,24,516000,516000,98,0,0
1423007608.8023849,2,36,515400,515400,97,0,0
1423007617.8023849,2,24,516000,516000,98,0,0
1423007618.8023849,2,36,515400,515400,97,0,0
1423007621.8023849,2,24,516000,516000,98,0,0
1423007622.8023849,2,36,515400,515400,97,0,0
1423007634.8023849,0,24,518400,518400,0,38,38
1423007637.8023849,2,24,516000,516000,98,0,0
1423007638.8023849,2,36,515400,515400,97,0,0
1423007647.8023849,2,24,516000,516000,98,0,0
1423007648.8023849,2,36,515400,515400,97,0,0
1423007667.8023849,2,24,516000,516000,98,0,0
1423007668.8023849,2,36,515400,515400,97,0,0
1423007677.8023849,2,24,516000,516000,98,0,0
1423007678.8023849,2,36,515400,515400,97,0,0
1423007681.8023849,2,24,516000,516000,98,0,0
1423007682.8023849,2,36,515400,515400,97,0,0
1423007697.8023849,2,24,516000,516000,98,0,0
1423007698.8023849,2,36,515400,515400,97,0,0
1423007707.8023849,2,24,516000,516000,98,0,0
1423007708.8023849,2,36,515400,515400,97,0,0
1423007727.8023849,2,24,516000,516000,98,0,0
1423007728.8023849,2,36,515400,515400,97,0,0
1423007737.8023849,2,24,516000,516000,98,0,0
1423007738.8023849,2,36,515400,515400,97,0,0
1423007741.8023849,2,24,516000,516000,98,0,0
1423007742.8023849,2,36,515400,515400,97,0,0
1423007757.8023849,2,24,516000,516000,98,0,0
1423007758.8023849,2,36,515400,515400,97,0,0
1423007767.8023849,2,24,516000,516000,98,0,0
1423007768.8023849,2,36,515400,515400,97,0,0
1423007787.8023849,2,24,516000,516000,98,0,0
1423007788.8023849,2,36,515400,515400,97,0,0
1423007797.8023849,2,24,516000,516000,98,0,0
1423007798.8023849,2,36,515400,515400,97,0,0
1423007801.8023849,2,24,516000,516000,98,0,0
1423007802.8023849,2,36,515400,515400,97,0,0
1423007817.8023849,2,24,516000,516000,98,0,0
1423007818.8023849,2,36,515400,515400,97,0,0
1423007827.8023849,2,24,516000,516000,98,0,0
1423007828.8023849,2,36,515400,515400,97,0,0
1423007847.8023849,2,24,516000,516000,98,0,0
1423007848.8023849,2,36,515400,515400,97,0,0
1423007857.8023849,2,24,516000,516000,98,0,0
1423007858.8023849,2,36,515400,515400,97,0,0
1423007861.8023849,2,24,516000,516000,98,0,0
1423007862.8023849,2,36,515400,515400,97,0,0
1423007877.8023849,2,24,516000,516000,98,0,0
1423007878.8023849,2,36,515400,515400,97,0,0
1423007887.8023849,2,24,516000,516000,98,0,0
1423007888.8023849,2,36,515400,515400,97,0,0
1423007907.8023849,2,24,516000,516000,98,0,0
1423007908.8023849,2,36,515400,515400,97,0,0
1423007917.8023849,2,24,516000,516000,98,0,0
1423007918.8023849,2,36,515400,515400,97,0,0
1423007921.8023849,2,24,516000,516000,98,0,0
1423007922.8023849,2,36,515400,515400,97,0,0
1423007937.8023849,2,24,516000,516000,98,0,0
1423007938.8023849,2,36,515400,515400,97,0,0
1423007947.8023849,2,24,516000,516000,98,0,0
1423007948.8023849,2,36,515400,515400,97,0,0
1423007967.8023849,2,24,516000,516000,98,0,0
1423007968.8023849,2,36,515400,515400,97,0,0
1423007977.8023849,2,24,516000,516000,98,0,0
1423007978.8023849,2,36,515400,515400,97,0,0
1423007981.8023849,2,24,516000,516000,98,0,0
1423007982.8023849,2,36,515400,515400,97,0,0
1423007997.8023849,2,24,516000,516000,98,0,0
1423007998.8023849,2,36,515400,515400,97,0,0
1423008007.8023849,2,24,516000,516000,98,0,0
1423008008.8023849,2,36,515400,515400,97,0,0
1423008018.8023849,0,24,525600,525600,0,41,41
1423008019.8023849,1,24,523800,523800,0,0,0
1423008027.8023849,2,24,516000,516000,98,0,0
1423008028.8023849,2,36,515400,515400,97,0,0
1423008037.8023849,2,24,516000,516000,98,0,0
1423008038.8023849,2,36,515400,515400,97,0,0
1423008041.8023849,2,24,516000,516000,98,0,0
1423008042.8023849,2,36,515400,515400,97,0,0
1423008057.8023849,2,24,516000,516000,98,0,0
1423008058.8023849,2,36,515400,515400,97,0,0
1423008067.8023849,2,24,516000,516000,98,0,0
1423008068.8023849,2,36,515400,515400,97,0,0
1423008087.8023849,2,24,516000,516000,98,0,0
1423008088.8023849,2,36,515400,515400,97,0,0
1423008097.8023849,2,24,516000,516000,98,0,0
1423008098.8023849,2,36,515400,515400,97,0,0
1423008101.8023849,2,24,516000,516000,98,0,0
1423008102.8023849,2,36,515400,515400,97,0,0
1423008116.8023849,2,36,517800,517800,101,0,0
1423008117.8023849,2,24,516000,516000,98,0,0
1423008118.8023849,2,36,517800,517800,101,0,0
1423008127.8023849,2,24,516000,516000,98,0,0
1423008128.8023849,2,36,517800,517800,101,0,0
1423008140.8023849,3,11,517800,517800,101,0,0
1423008147.8023849,2,24,516000,516000,98,0,0
1423008148.8023849,2,36,517800,517800,101,0,0
1423008157.8023849,2,24,516000,516000,98,0,0
1423008158.8023849,2,36,517800,517800,101,0,0
1423008161.8023849,2,24,516000,516000,98,0,0
1423008162.8023849,2,36,517800,517800,101,0,0
1423008177.8023849,2,24,516000,516000,98,0,0
1423008178.8023849,2,36,517800,517800,101,0,0
1423008187.8023849,2,24,516000,516000,98,0,0
1423008188.8023849,2,36,517800,517800,101,0,0
1423008207.8023849,2,24,516000,516000,98,0,0
1423008208.8023849,2,36,517800,517800,101,0,0
1423008217.8023849,2,24,516000,516000,98,0,0
1423008218.8023849,2,36,517800,517800,101,0,0
1423008221.8023849,2,24,516000,516000,98,0,0
1423008222.8023849,2,36,517800,517800,101,0,0
1423008237.8023849,2,24,516000,516000,98,0,0
1423008238.8023849,2,36,517800,517800,101,0,0
1423008247.8023849,2,24,516000,516000,98,0,0
1423008248.8023849,2,36,517800,517800,101,0,0
1423008261.8023849,3,36,517800,517800,101,0,0
