Receiver Time [s],Clock Bias [m],ClockDrift [m/s]
1423006566.8023849,0.0,0.0
1423006567.8023849,-136087.9180188761,-13.607438395489881
1423006568.8023849,-136105.93101678492,-19.061521066740912
1423006569.8023849,-136133.54859345657,-26.843199690841907
1423006570.8023849,-136160.92421171712,-27.027197029690953
1423006571.8023849,-136189.25788287158,-27.466831900798695
1423006572.8023849,-136216.95280188197,-27.50665690887657
1423006573.8023849,-136244.9455878988,-27.594830757168815
1423006574.8023849,-136273.30332919495,-27.836310962472194
1423006575.8023849,-136301.2536558822,-27.82180269062957
1423006576.8023849,-136329.3534113347,-27.896999570061194
1423006577.8023849,-136357.98243221795,-28.16633629768869
1423006578.8023849,-136386.1818421635,-28.14994538810362
1423006579.8023849,-136413.45968237473,-27.743787090656266
1423006580.8023849,-136442.70907404856,-28.341621911696826
1423006581.8023849,-136471.46362364633,-28.476950660843617
1423006582.8023849,-136500.07318394174,-28.498124143857215
1423006583.8023849,-136529.1583690645,-28.72295793765919
1423006584.8023849,-136557.92230122112,-28.718732020210027
1423006585.8023849,-136586.6004161942,-28.680236437565167
1423006586.8023849,-136615.733869997,-28.858014644008538
1423006587.8023849,-136644.99892985003,-28.997614022827257
1423006588.8023849,-136674.53919780845,-29.19369413231638
1423006589.8023849,-136704.13828296485,-29.353593718117985
1423006590.8023849,-136733.95720688626,-29.536308459401557
1423006591.8023849,-136763.77696439295,-29.628624703921925
1423006592.8023849,-136793.65236133029,-29.713047467097738
1423006593.8023849,-136823.53595973662,-29.753141605628965
1423006594.8023849,-136853.6516723364,-29.891878425413275
1423006595.8023849,-136883.68847886487,-29.941462685719944
1423006596.8023849,-136913.90444306855,-30.045953578630176
1423006597.8023849,-136944.3886455991,-30.21085605001052
1423006598.8023849,-136975.1562955819,-30.44480721894841
1423006599.8023849,-137005.7236090806,-30.501386896757808
1423006600.8023849,-137036.75340520183,-30.700926058683095
1423006601.8023849,-137067.67234521985,-30.784631641940948
1423006602.8023849,-137098.6890800759,-30.868641178510188
1423006603.8023849,-137129.74565783335,-30.934525230481736
1423006604.8023849,-137160.8330348574,-30.995782779974625
1423006605.8023849,-137192.04717881622,-31.08714836945022
1423006606.8023849,-137223.44677896457,-31.197558708733208
1423006607.8023849,-137254.94258459285,-31.32018860047985
1423006608.8023849,-137286.4632645118,-31.4007632090003
1423006609.8023849,-137318.15092848358,-31.519212408077557
1423006610.8023849,-137350.0341938611,-31.66651843844249
1423006611.8023849,-137382.21346234903,-31.87675621416706
1423006612.8023849,-137414.41769205552,-32.006914806608556
1423006613.8023849,-137446.60761131687,-32.08356996294164
1423006614.8023849,-137479.11421722267,-32.255716222543334
1423006615.8023849,-137511.6611288203,-32.35742209602146
1423006616.8023849,-137544.32298901555,-32.47560929680665
1423006617.8023849,-137577.1138157904,-32.60597644249424
1423006618.8023849,-137610.02022797774,-32.72615429861378
1423006619.8023849,-137662.00400400278,-32.87233018486867
