rxTime,signal,svId,Toe,Toc,iodNav,iodE,iodC
1425019699.2961748,0,25,115200,115200,0,46,46
1425019791.2961748,1,25,113400,113400,0,0,0
1425019815.2961748,1,18,113400,113400,0,0,0
1425019819.2961748,2,34,111001,111001,0,0,0
1425019819.2961748,0,18,115200,115200,0,215,471
1425019827.2961748,2,34,109800,109800,56,0,0
1425019829.2961748,2,34,109800,109800,56,0,0
1425019839.2961748,2,34,109800,109800,56,0,0
1425019843.2961748,2,34,109800,109800,56,0,0
1425019859.2961748,2,34,109800,109800,56,0,0
1425019869.2961748,2,34,109800,109800,56,0,0
1425019877.2961748,2,34,110400,110400,57,0,0
1425019889.2961748,2,34,110400,110400,57,0,0
1425019892.2961748,3,34,109800,109800,56,0,0
1425019899.2961748,2,34,110400,110400,57,0,0
1425019903.2961748,2,34,110400,110400,57,0,0
1425019919.2961748,2,34,110400,110400,57,0,0
1425019929.2961748,2,34,110400,110400,57,0,0
1425019939.2961748,2,2,111121,111121,0,0,0
1425019942.2961748,3,2,110400,110400,57,0,0
1425019942.2961748,3,34,110400,110400,57,0,0
1425019947.2961748,2,2,110400,110400,57,0,0
1425019949.2961748,2,2,110400,110400,57,0,0
1425019949.2961748,2,34,110400,110400,57,0,0
1425019959.2961748,2,2,110400,110400,57,0,0
1425019959.2961748,2,34,110400,110400,57,0,0
1425019963.2961748,2,2,110400,110400,57,0,0
1425019963.2961748,2,34,110400,110400,57,0,0
1425019979.2961748,2,2,110400,110400,57,0,0
1425019979.2961748,2,34,110400,110400,57,0,0
1425019989.2961748,2,2,110400,110400,57,0,0
1425019989.2961748,2,34,110400,110400,57,0,0
1425020009.2961748,2,2,110400,110400,57,0,0
1425020009.2961748,2,34,110400,110400,57,0,0
1425020019.2961748,2,2,110400,110400,57,0,0
1425020019.2961748,2,34,110400,110400,57,0,0
1425020023.2961748,2,2,110400,110400,57,0,0
1425020023.2961748,2,34,110400,110400,57,0,0
1425020039.2961748,2,2,110400,110400,57,0,0
1425020039.2961748,2,34,110400,110400,57,0,0
1425020049.2961748,2,2,110400,110400,57,0,0
1425020049.2961748,2,34,110400,110400,57,0,0
1425020069.2961748,2,2,110400,110400,57,0,0
1425020069.2961748,2,34,110400,110400,57,0,0
1425020079.2961748,2,2,110400,110400,57,0,0
1425020079.2961748,2,34,110400,110400,57,0,0
1425020083.2961748,2,2,110400,110400,57,0,0
1425020083.2961748,2,34,110400,110400,57,0,0
1425020099.2961748,2,2,110400,110400,57,0,0
1425020099.2961748,2,34,110400,110400,57,0,0
1425020109.2961748,2,2,110400,110400,57,0,0
1425020109.2961748,2,34,110400,110400,57,0,0
1425020129.2961748,2,2,110400,110400,57,0,0
1425020129.2961748,2,34,110400,110400,57,0,0
1425020139.2961748,2,2,110400,110400,57,0,0
1425020139.2961748,2,34,110400,110400,57,0,0
1425020143.2961748,2,2,110400,110400,57,0,0
1425020143.2961748,2,34,110400,110400,57,0,0
1425020159.2961748,2,2,110400,110400,57,0,0
1425020159.2961748,2,34,110400,110400,57,0,0
1425020169.2961748,2,2,110400,110400,57,0,0
1425020169.2961748,2,34,110400,110400,57,0,0
1425020189.2961748,2,2,110400,110400,57,0,0
1425020189.2961748,2,34,110400,110400,57,0,0
1425020199.2961748,2,2,110400,110400,57,0,0
1425020199.2961748,2,34,110400,110400,57,0,0
1425020203.2961748,2,2,110400,110400,57,0,0
1425020203.2961748,2,34,110400,110400,57,0,0
1425020219.2961748,2,2,110400,110400,57,0,0
1425020219.2961748,2,34,110400,110400,57,0,0
1425020229.2961748,2,2,110400,110400,57,0,0
1425020229.2961748,2,34,110400,110400,57,0,0
1425020249.2961748,2,2,110400,110400,57,0,0
1425020249.2961748,2,34,110400,110400,57,0,0
1425020259.2961748,2,2,110400,110400,57,0,0
1425020259.2961748,2,34,110400,110400,57,0,0
1425020263.2961748,2,2,110400,110400,57,0,0
1425020263.2961748,2,34,110400,110400,57,0,0
1425020279.2961748,2,34,110400,110400,57,0,0
1425020279.2961748,2,2,110400,110400,57,0,0
1425020289.2961748,2,34,110400,110400,57,0,0
1425020289.2961748,2,2,110400,110400,57,0,0
1425020309.2961748,2,34,110400,110400,57,0,0
1425020309.2961748,2,2,110400,110400,57,0,0
1425020319.2961748,2,34,110400,110400,57,0,0
